file,outcome,gt_or_apex_time,height_pct,area_pct,snr_pct,overall_strength_pct,note
12_1_control,MISSED (FN),6.319,0.142,0.2,0.704,0.2,below threshold on lowest axis
12_2_control,MISSED (FN),4.15,0.146,0.196,0.062,0.196,below threshold on lowest axis
24_1_control,MISSED (FN),14.696,0.175,0.062,0.696,0.175,below threshold on lowest axis
24_2_control,MISSED (FN),0.423,0.158,0.075,0.725,0.158,below threshold on lowest axis
24_2_control,MISSED (FN),3.162,0.113,0.204,0.096,0.204,below threshold on lowest axis
24_2_control,MISSED (FN),3.936,0.129,0.067,0.7,0.129,below threshold on lowest axis
24_2_control,MISSED (FN),26.575,0.079,0.058,0.642,0.079,below threshold on lowest axis
36_1_control,MISSED (FN),3.279,0.087,0.188,0.013,0.188,below threshold on lowest axis
36_1_control,MISSED (FN),10.635,0.037,0.042,0.592,0.042,below threshold on lowest axis
36_1_control,MISSED (FN),13.211,0.042,0.037,0.613,0.042,below threshold on lowest axis
36_1_control,MISSED (FN),23.718,0.117,0.113,0.892,0.117,below threshold on lowest axis
36_2_control,MISSED (FN),8.574,0.125,0.412,0.104,0.412,below threshold on lowest axis
36_2_control,MISSED (FN),13.001,0.008,0.025,0.621,0.025,below threshold on lowest axis
36_2_control,MISSED (FN),27.1,0.121,0.121,0.537,0.121,below threshold on lowest axis
36_2_control,MISSED (FN),28.284,0.075,0.071,0.662,0.075,below threshold on lowest axis
36_2_control,MISSED (FN),30.478,0.046,0.046,0.588,0.046,below threshold on lowest axis
36_2_control,MISSED (FN),37.098,0.05,0.05,0.562,0.05,below threshold on lowest axis
48_1_control,MISSED (FN),1.163,0.204,0.079,0.746,0.204,below threshold on lowest axis
48_1_control,MISSED (FN),2.048,0.025,0.033,0.633,0.033,below threshold on lowest axis
48_1_control,MISSED (FN),8.529,0.325,0.096,0.738,0.325,below threshold on lowest axis
48_1_control,MISSED (FN),14.637,0.092,0.15,0.829,0.15,below threshold on lowest axis
48_1_control,MISSED (FN),24.783,0.133,0.45,0.688,0.45,below threshold on lowest axis
48_1_control,MISSED (FN),25.09,0.013,0.029,0.629,0.029,below threshold on lowest axis
48_1_control,MISSED (FN),27.087,0.071,0.108,0.817,0.108,below threshold on lowest axis
48_1_control,MISSED (FN),34.636,0.096,0.421,0.787,0.421,below threshold on lowest axis
48_1_control,MISSED (FN),37.474,0.017,0.008,0.458,0.017,below threshold on lowest axis
48_1_control,MISSED (FN),38.25,0.512,0.167,0.733,0.512,below threshold on lowest axis
48_1_control,MISSED (FN),39.486,0.021,0.013,0.417,0.021,below threshold on lowest axis
48_1_control,MISSED (FN),49.237,0.054,0.183,0.008,0.183,below threshold on lowest axis
48_1_control,MISSED (FN),52.536,0.425,0.154,0.717,0.425,below threshold on lowest axis
48_1_control,MISSED (FN),55.103,0.083,0.267,0.217,0.267,below threshold on lowest axis
48_2_control,MISSED (FN),2.545,0.029,0.017,0.438,0.029,below threshold on lowest axis
48_2_control,MISSED (FN),21.394,0.004,0.004,0.396,0.004,below threshold on lowest axis
48_2_control,MISSED (FN),27.703,0.104,0.404,0.954,0.404,below threshold on lowest axis
48_2_control,MISSED (FN),29.475,0.062,0.104,0.133,0.104,below threshold on lowest axis
48_2_control,MISSED (FN),33.833,0.067,0.175,0.05,0.175,below threshold on lowest axis
48_2_control,MISSED (FN),36.043,0.058,0.054,0.575,0.058,below threshold on lowest axis
48_2_control,MISSED (FN),39.389,0.033,0.021,0.425,0.033,below threshold on lowest axis
48_2_control,MISSED (FN),50.26,0.1,0.263,0.754,0.263,below threshold on lowest axis
48_2_control,MISSED (FN),54.16,0.108,0.158,0.838,0.158,below threshold on lowest axis
