file,outcome,gt_or_apex_time,height_pct,area_pct,snr_pct,overall_strength_pct,note
12_1_drift,MISSED (FN),5.57,0.9,0.254,0.954,0.9,below threshold on lowest axis
12_2_drift,MISSED (FN),10.377,0.721,0.071,0.796,0.721,below threshold on lowest axis
12_2_drift,MISSED (FN),13.517,0.804,0.242,0.938,0.804,below threshold on lowest axis
24_1_drift,MISSED (FN),17.328,0.875,0.296,0.917,0.875,below threshold on lowest axis
24_1_drift,MISSED (FN),23.509,0.933,0.6,0.558,0.933,below threshold on lowest axis
24_1_drift,MISSED (FN),24.789,0.133,0.062,0.667,0.133,below threshold on lowest axis
24_2_drift,MISSED (FN),6.042,0.383,0.537,0.008,0.537,below threshold on lowest axis
24_2_drift,MISSED (FN),9.496,0.388,0.192,0.758,0.388,below threshold on lowest axis
24_2_drift,MISSED (FN),13.71,0.083,0.058,0.642,0.083,below threshold on lowest axis
24_2_drift,MISSED (FN),14.315,0.975,0.404,0.879,0.975,below threshold on lowest axis
24_2_drift,MISSED (FN),23.896,0.787,0.3,0.85,0.787,below threshold on lowest axis
36_1_drift,MISSED (FN),5.87,0.037,0.046,0.596,0.046,below threshold on lowest axis
36_1_drift,MISSED (FN),7.372,0.042,0.042,0.621,0.042,below threshold on lowest axis
36_1_drift,MISSED (FN),8.727,0.296,0.533,0.567,0.533,below threshold on lowest axis
36_1_drift,MISSED (FN),9.682,0.071,0.067,0.65,0.071,below threshold on lowest axis
36_1_drift,MISSED (FN),18.202,0.412,0.171,0.858,0.412,below threshold on lowest axis
36_1_drift,MISSED (FN),18.827,0.129,0.392,0.163,0.392,below threshold on lowest axis
36_1_drift,MISSED (FN),19.551,0.013,0.037,0.579,0.037,below threshold on lowest axis
36_1_drift,MISSED (FN),23.786,0.104,0.113,0.883,0.113,below threshold on lowest axis
36_1_drift,MISSED (FN),31.602,0.092,0.179,0.842,0.179,below threshold on lowest axis
36_1_drift,MISSED (FN),35.089,0.717,0.287,0.854,0.717,below threshold on lowest axis
36_1_drift,MISSED (FN),35.365,0.521,0.237,0.475,0.521,below threshold on lowest axis
36_2_drift,MISSED (FN),5.426,0.054,0.029,0.554,0.054,below threshold on lowest axis
36_2_drift,MISSED (FN),8.053,0.358,0.388,0.9,0.388,below threshold on lowest axis
36_2_drift,MISSED (FN),9.149,0.033,0.033,0.575,0.033,below threshold on lowest axis
36_2_drift,MISSED (FN),9.372,0.671,0.317,0.688,0.671,below threshold on lowest axis
36_2_drift,MISSED (FN),14.585,0.146,0.267,0.867,0.267,below threshold on lowest axis
36_2_drift,MISSED (FN),27.446,0.108,0.108,0.029,0.108,below threshold on lowest axis
36_2_drift,MISSED (FN),27.747,0.487,0.229,0.671,0.487,below threshold on lowest axis
48_1_drift,MISSED (FN),20.219,0.079,0.104,0.863,0.104,below threshold on lowest axis
48_1_drift,MISSED (FN),20.876,0.417,0.125,0.717,0.417,below threshold on lowest axis
48_1_drift,MISSED (FN),21.195,0.254,0.221,0.258,0.254,below threshold on lowest axis
48_1_drift,MISSED (FN),22.033,0.121,0.4,0.212,0.4,below threshold on lowest axis
48_1_drift,MISSED (FN),24.099,0.604,0.233,0.738,0.604,below threshold on lowest axis
48_1_drift,MISSED (FN),24.451,0.283,0.383,0.154,0.383,below threshold on lowest axis
48_1_drift,MISSED (FN),33.587,0.075,0.246,0.804,0.246,below threshold on lowest axis
48_1_drift,MISSED (FN),35.195,0.379,0.567,0.346,0.567,below threshold on lowest axis
48_1_drift,MISSED (FN),36.185,0.046,0.017,0.433,0.046,below threshold on lowest axis
48_1_drift,MISSED (FN),39.089,0.325,0.079,0.683,0.325,below threshold on lowest axis
48_1_drift,MISSED (FN),39.56,0.096,0.054,0.583,0.096,below threshold on lowest axis
48_1_drift,MISSED (FN),41.713,0.125,0.163,0.046,0.163,below threshold on lowest axis
48_1_drift,MISSED (FN),46.338,0.029,0.013,0.446,0.029,below threshold on lowest axis
48_1_drift,MISSED (FN),46.856,0.062,0.183,0.017,0.183,below threshold on lowest axis
48_1_drift,MISSED (FN),50.896,0.008,0.025,0.562,0.025,below threshold on lowest axis
48_2_drift,MISSED (FN),5.29,0.025,0.021,0.412,0.025,below threshold on lowest axis
48_2_drift,MISSED (FN),10.778,0.1,0.396,0.829,0.396,below threshold on lowest axis
48_2_drift,MISSED (FN),14.098,0.212,0.529,0.408,0.529,below threshold on lowest axis
48_2_drift,MISSED (FN),21.048,0.021,0.05,0.613,0.05,below threshold on lowest axis
48_2_drift,MISSED (FN),22.495,0.321,0.092,0.733,0.321,below threshold on lowest axis
48_2_drift,MISSED (FN),25.743,0.087,0.133,0.846,0.133,below threshold on lowest axis
48_2_drift,MISSED (FN),28.138,0.058,0.196,0.762,0.196,below threshold on lowest axis
48_2_drift,MISSED (FN),29.438,0.113,0.412,0.896,0.412,below threshold on lowest axis
48_2_drift,MISSED (FN),34.772,0.117,0.304,0.7,0.304,below threshold on lowest axis
48_2_drift,MISSED (FN),37.042,0.05,0.083,0.925,0.083,below threshold on lowest axis
48_2_drift,MISSED (FN),43.522,0.017,0.008,0.425,0.017,below threshold on lowest axis
48_2_drift,MISSED (FN),44.403,0.492,0.167,0.467,0.492,below threshold on lowest axis
48_2_drift,MISSED (FN),47.996,0.825,0.696,0.658,0.825,below threshold on lowest axis
48_2_drift,MISSED (FN),49.392,0.067,0.263,0.892,0.263,below threshold on lowest axis
48_2_drift,MISSED (FN),50.325,0.004,0.004,0.492,0.004,below threshold on lowest axis
