peak_id,apex_time,apex_signal,start_time,end_time,width_samples,height,prominence,snr,peak_area,confidence_percent
peak_1,0.2935326915864483,181.30564774612787,0.2096662082760345,0.382640830103763,99.0,194.56682913679515,194.49043452999518,3.4758897715512953,14.739127021693925,25.4
peak_2,1.231788973621703,273.53777089640073,1.1549113639204902,1.2789638704838109,71.0,293.99608864384464,294.0297552020729,3.4509268739745544,11.39020473589255,39.3
peak_3,2.624322040255032,275.5671994026184,2.2259562445305665,3.043654456807101,468.0,281.9343226002554,281.957900137768,3.3770741378663724,98.54461849080721,77.7
peak_4,3.955702462807852,21.84255690522662,3.849122140267534,4.062282785348169,122.0,39.012,39.012,0.026,1.903,1.0
peak_5,4.3575626953369175,506.52771655176633,4.31213501687711,4.4117264658082265,57.0,524.4584379649823,524.450446411903,4.5340337236399915,15.512574596048093,83.4
peak_6,5.678459807475935,225.57795203783706,5.372696587073385,5.930059257407176,319.0,239.2291986915581,238.39545893804936,3.3410130257898483,57.94126353067407,52.8
peak_7,6.995862482810352,223.8347606131279,6.892776597074636,7.114673334166771,127.0,242.11220605487165,241.95432251611535,3.3121458993108357,22.083119180761678,35.4
peak_8,7.6895081885235665,313.882936913466,7.614377797224654,7.754155269408677,80.0,336.51767811134715,336.31060785230414,4.600601179505425,10.675876489727191,52.8
peak_9,8.460031503937993,410.4912424629319,8.335978997374673,8.543897987248407,119.0,429.94923677980245,429.87504613469855,3.7367741706519175,29.798527711541073,70.1
peak_10,9.17114939367421,217.89834132864803,9.080294036754596,9.23754369296162,90.0,229.59189994786377,228.30692813808787,3.874759670233179,14.297260535738408,32.8
peak_11,9.607953994249282,2.6692958466563326,9.501373671708963,9.7145343167896,122.0,18.445,18.445,0.0,0.554,1.0
peak_12,10.333049631203902,228.505425374003,10.236952619077384,10.460596574571822,128.0,246.91641695396012,245.21667139046377,3.5545210363651933,22.00514074856971,37.4
peak_13,10.970784348043509,342.96245933927554,10.80130416302038,11.154242280285036,202.0,361.4325721089492,361.4110998420579,3.682970694274351,48.48552708331203,67.5
peak_14,12.7494526815852,262.8433415618249,12.33012026503313,13.17926840855107,486.0,272.3140860240369,272.2832369909613,3.0535399836086143,97.49597667563113,74.6
