file,outcome,gt_or_apex_time,height_pct,area_pct,snr_pct,overall_strength_pct,note
24_1_noise,MISSED (FN),9.503,0.092,0.067,0.667,0.092,below threshold on lowest axis
24_1_noise,MISSED (FN),17.836,0.796,0.317,0.938,0.796,below threshold on lowest axis
24_1_noise,MISSED (FN),19.081,0.121,0.133,0.654,0.133,below threshold on lowest axis
24_1_noise,MISSED (FN),22.105,0.254,0.071,0.65,0.254,below threshold on lowest axis
24_1_noise,MISSED (FN),24.45,0.237,0.083,0.071,0.237,below threshold on lowest axis
24_2_noise,MISSED (FN),0.812,0.133,0.062,0.633,0.133,below threshold on lowest axis
24_2_noise,MISSED (FN),1.574,0.65,0.35,0.929,0.65,below threshold on lowest axis
24_2_noise,MISSED (FN),3.807,0.163,0.058,0.658,0.163,below threshold on lowest axis
24_2_noise,MISSED (FN),26.641,0.75,0.325,0.95,0.75,below threshold on lowest axis
36_1_noise,MISSED (FN),8.901,0.596,0.279,0.829,0.596,below threshold on lowest axis
36_1_noise,MISSED (FN),17.855,0.033,0.042,0.533,0.042,below threshold on lowest axis
36_1_noise,MISSED (FN),18.429,0.392,0.121,0.833,0.392,below threshold on lowest axis
36_1_noise,MISSED (FN),20.435,0.721,0.321,0.842,0.721,below threshold on lowest axis
36_1_noise,MISSED (FN),21.144,0.129,0.117,0.058,0.129,below threshold on lowest axis
36_1_noise,MISSED (FN),21.374,0.487,0.237,0.6,0.487,below threshold on lowest axis
36_1_noise,MISSED (FN),22.421,0.342,0.25,0.717,0.342,below threshold on lowest axis
36_1_noise,MISSED (FN),26.493,0.075,0.221,0.113,0.221,below threshold on lowest axis
36_1_noise,MISSED (FN),30.586,0.042,0.054,0.637,0.054,below threshold on lowest axis
36_1_noise,MISSED (FN),36.928,0.85,0.583,0.942,0.85,below threshold on lowest axis
36_1_noise,MISSED (FN),39.669,0.021,0.033,0.579,0.033,below threshold on lowest axis
36_1_noise,MISSED (FN),40.882,0.642,0.217,0.825,0.642,below threshold on lowest axis
36_1_noise,MISSED (FN),42.255,0.308,0.429,0.812,0.429,below threshold on lowest axis
36_2_noise,MISSED (FN),7.658,0.188,0.154,0.608,0.188,below threshold on lowest axis
36_2_noise,MISSED (FN),7.891,0.029,0.037,0.542,0.037,below threshold on lowest axis
36_2_noise,MISSED (FN),26.08,0.05,0.029,0.546,0.05,below threshold on lowest axis
36_2_noise,MISSED (FN),34.493,0.508,0.229,0.917,0.508,below threshold on lowest axis
36_2_noise,MISSED (FN),38.694,0.096,0.108,0.754,0.108,below threshold on lowest axis
48_1_noise,MISSED (FN),3.559,0.004,0.021,0.588,0.021,below threshold on lowest axis
48_1_noise,MISSED (FN),5.89,0.362,0.092,0.729,0.362,below threshold on lowest axis
48_1_noise,MISSED (FN),6.493,0.013,0.017,0.592,0.017,below threshold on lowest axis
48_1_noise,MISSED (FN),9.039,0.008,0.025,0.575,0.025,below threshold on lowest axis
48_1_noise,MISSED (FN),9.934,0.058,0.1,0.742,0.1,below threshold on lowest axis
48_1_noise,MISSED (FN),26.985,0.171,0.104,0.787,0.171,below threshold on lowest axis
48_1_noise,MISSED (FN),31.66,0.533,0.158,0.725,0.533,below threshold on lowest axis
48_1_noise,MISSED (FN),36.822,0.338,0.142,0.846,0.338,below threshold on lowest axis
48_1_noise,MISSED (FN),38.098,0.067,0.146,0.025,0.146,below threshold on lowest axis
48_1_noise,MISSED (FN),38.417,0.458,0.113,0.704,0.458,below threshold on lowest axis
48_1_noise,MISSED (FN),39.395,0.883,0.604,0.908,0.883,below threshold on lowest axis
48_1_noise,MISSED (FN),45.493,0.025,0.05,0.562,0.05,below threshold on lowest axis
48_1_noise,MISSED (FN),48.462,0.492,0.246,0.821,0.492,below threshold on lowest axis
48_2_noise,MISSED (FN),2.535,0.354,0.15,0.867,0.354,below threshold on lowest axis
48_2_noise,MISSED (FN),3.184,0.017,0.004,0.412,0.017,below threshold on lowest axis
48_2_noise,MISSED (FN),4.377,0.5,0.233,0.808,0.5,below threshold on lowest axis
48_2_noise,MISSED (FN),6.312,0.383,0.167,0.746,0.383,below threshold on lowest axis
48_2_noise,MISSED (FN),8.564,0.083,0.4,0.008,0.4,below threshold on lowest axis
48_2_noise,MISSED (FN),9.079,0.079,0.292,0.371,0.292,below threshold on lowest axis
48_2_noise,MISSED (FN),18.039,0.317,0.125,0.762,0.317,below threshold on lowest axis
48_2_noise,MISSED (FN),20.552,0.054,0.171,0.171,0.171,below threshold on lowest axis
48_2_noise,MISSED (FN),22.458,0.421,0.129,0.688,0.421,below threshold on lowest axis
48_2_noise,MISSED (FN),22.762,0.113,0.138,0.062,0.138,below threshold on lowest axis
48_2_noise,MISSED (FN),25.431,0.071,0.046,0.521,0.071,below threshold on lowest axis
48_2_noise,MISSED (FN),30.5,0.062,0.096,0.779,0.096,below threshold on lowest axis
48_2_noise,MISSED (FN),39.572,0.554,0.163,0.713,0.554,below threshold on lowest axis
48_2_noise,MISSED (FN),42.77,0.037,0.008,0.425,0.037,below threshold on lowest axis
48_2_noise,MISSED (FN),48.101,0.221,0.087,0.662,0.221,below threshold on lowest axis
48_2_noise,MISSED (FN),52.845,0.046,0.013,0.4,0.046,below threshold on lowest axis
