file,outcome,gt_or_apex_time,height_pct,area_pct,snr_pct,overall_strength_pct,note
12_1_tiny,MISSED (FN),12.924,0.142,0.042,0.004,0.142,below threshold on lowest axis
12_2_tiny,MISSED (FN),6.036,0.146,0.054,0.071,0.146,below threshold on lowest axis
24_1_tiny,MISSED (FN),4.974,0.113,0.087,0.354,0.113,below threshold on lowest axis
24_1_tiny,MISSED (FN),9.705,0.121,0.046,0.237,0.121,below threshold on lowest axis
24_1_tiny,MISSED (FN),22.234,0.117,0.079,0.371,0.117,below threshold on lowest axis
24_2_tiny,MISSED (FN),3.45,0.771,0.758,0.604,0.771,below threshold on lowest axis
24_2_tiny,MISSED (FN),12.346,0.129,0.037,0.025,0.129,below threshold on lowest axis
24_2_tiny,MISSED (FN),13.488,0.133,0.05,0.117,0.133,below threshold on lowest axis
24_2_tiny,MISSED (FN),15.393,0.138,0.062,0.129,0.138,below threshold on lowest axis
24_2_tiny,MISSED (FN),19.337,0.125,0.058,0.067,0.125,below threshold on lowest axis
36_1_tiny,MISSED (FN),5.135,0.079,0.108,0.058,0.108,below threshold on lowest axis
36_1_tiny,MISSED (FN),17.156,0.075,0.104,0.246,0.104,below threshold on lowest axis
36_1_tiny,MISSED (FN),22.354,0.071,0.067,0.375,0.071,below threshold on lowest axis
36_1_tiny,MISSED (FN),32.648,0.775,0.762,0.608,0.775,below threshold on lowest axis
36_1_tiny,MISSED (FN),40.155,0.062,0.092,0.029,0.092,below threshold on lowest axis
36_1_tiny,MISSED (FN),41.467,0.058,0.075,0.033,0.075,below threshold on lowest axis
36_1_tiny,MISSED (FN),42.792,0.067,0.1,0.013,0.1,below threshold on lowest axis
36_2_tiny,MISSED (FN),10.039,0.1,0.029,0.042,0.1,below threshold on lowest axis
36_2_tiny,MISSED (FN),11.887,0.104,0.121,0.233,0.121,below threshold on lowest axis
36_2_tiny,MISSED (FN),13.203,0.092,0.025,0.125,0.092,below threshold on lowest axis
36_2_tiny,MISSED (FN),23.334,0.087,0.017,0.054,0.087,below threshold on lowest axis
36_2_tiny,MISSED (FN),27.25,0.083,0.083,0.979,0.083,below threshold on lowest axis
36_2_tiny,MISSED (FN),29.21,0.758,0.767,0.613,0.767,below threshold on lowest axis
36_2_tiny,MISSED (FN),31.187,0.108,0.096,0.242,0.108,below threshold on lowest axis
36_2_tiny,MISSED (FN),34.313,0.754,0.754,0.529,0.754,below threshold on lowest axis
36_2_tiny,MISSED (FN),38.025,0.096,0.021,0.138,0.096,below threshold on lowest axis
48_1_tiny,MISSED (FN),1.246,0.037,0.117,0.358,0.117,below threshold on lowest axis
48_1_tiny,MISSED (FN),1.938,0.017,0.004,0.362,0.017,below threshold on lowest axis
48_1_tiny,MISSED (FN),10.311,0.054,0.133,0.017,0.133,below threshold on lowest axis
48_1_tiny,MISSED (FN),20.022,0.046,0.129,0.05,0.129,below threshold on lowest axis
48_1_tiny,MISSED (FN),25.288,0.05,0.138,0.15,0.138,below threshold on lowest axis
48_1_tiny,MISSED (FN),25.896,0.033,0.071,0.146,0.071,below threshold on lowest axis
48_1_tiny,MISSED (FN),32.59,0.042,0.125,0.008,0.125,below threshold on lowest axis
48_2_tiny,MISSED (FN),22.798,0.025,0.113,0.133,0.113,below threshold on lowest axis
48_2_tiny,MISSED (FN),41.171,0.746,0.471,0.487,0.746,below threshold on lowest axis
48_2_tiny,MISSED (FN),50.911,0.021,0.142,0.062,0.142,below threshold on lowest axis
48_2_tiny,MISSED (FN),51.638,0.029,0.146,0.037,0.146,below threshold on lowest axis
48_2_tiny,MISSED (FN),53.031,0.013,0.033,0.154,0.033,below threshold on lowest axis
48_2_tiny,MISSED (FN),54.818,0.75,0.467,0.483,0.75,below threshold on lowest axis
48_2_tiny,MISSED (FN),58.036,0.004,0.013,0.046,0.013,below threshold on lowest axis
48_2_tiny,MISSED (FN),60.001,0.008,0.008,0.229,0.008,below threshold on lowest axis
